,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,0.020432170183134098,0.11099199262280035,0.18408688501135037,5.439136660957141,6.956517873397177e-08,0.038416097962764975,-0.00032652456361104143,alpha002
1D,0.023396751613217387,0.13609536048265455,0.1719143953933633,5.073659545944976,4.771628277536892e-07,0.019579355293412367,0.0850869039431954,alpha005
1D,0.014058848880717989,0.13241403886789507,0.106173401256524,3.1334647082812306,0.0017854356669395998,-0.07158577506618416,0.3157451004505951,alpha006
1D,0.01607659923905897,0.12947830773933164,0.12416442197734548,3.6517852055532494,0.0002760892860565005,0.1373587392358837,0.302929889502646,alpha008
1D,0.014941492137796341,0.13547482704357539,0.11028980411977511,3.2698648511447956,0.0011178676921217092,0.04602122017142501,0.062483726925143035,alpha009
1D,0.010983648551825272,0.13379506420894888,0.08209307732512476,2.4338901515884266,0.01513600679844603,0.0664838868274311,0.032112149037514026,alpha010
1D,-5.619319288840823e-05,0.1374958370138137,-0.0004086901400713878,-0.0121030257385832,0.9903461741282826,0.0042344285882707725,-0.11850214090059463,alpha011
1D,0.015470726854751517,0.1253792306512638,0.12339146423527345,3.6583020076455783,0.00026901943950582047,0.04715228263459408,0.1870399730806942,alpha012
1D,0.022477091645712353,0.1107032857369338,0.2030390651558895,,,,,alpha013
1D,0.016607334492535854,0.1387550611899596,0.11968813497764917,3.5323211135182424,0.00043359554665906746,-0.04658863805243345,0.4153024478210452,alpha014
1D,0.019278445828813027,0.11277393916362878,0.1709477027386714,,,,,alpha015
1D,0.02195659594226664,0.11733631513706615,0.187125323618848,,,,,alpha016
1D,0.025797531552947565,0.14849583992895546,0.17372561793845417,5.085741431805177,4.500479990915855e-07,0.13161369574128529,0.2822749149122461,alpha017
1D,0.0003337176043954776,0.14839908589380135,0.0022487847710483573,0.06655795114885328,0.9469488259310666,0.1248094834041585,0.13295119124014843,alpha018
1D,0.028333663330117834,0.17334318989409706,0.16345414750604342,4.102666541685331,4.6213514579353696e-05,-0.05131874454125935,-0.011753125596468905,alpha019
1D,0.010183539384470345,0.12132733325658417,0.08393442030852274,2.488482167127564,0.01301333241334941,-0.18026570466028805,0.19990521852452492,alpha020
1D,3.7840503914923125e-05,0.13044878669439047,0.0002900793857406597,0.008511741835680587,0.9932106686332384,0.13435923548528744,-0.11256185869969082,alpha022
1D,0.006985626945087244,0.14290307947862646,0.04888366976116887,,,,,alpha024
1D,0.027228872125526833,0.1429591465412586,0.19046610716627682,5.588809175484896,3.069373024727967e-08,0.044442452910142254,0.058348062469071316,alpha025
1D,0.021124245943918603,0.12268858096093165,0.17217776730701045,,,,,alpha026
1D,-0.0033719394148333834,0.13720130029439856,-0.024576584971119603,-0.7290593291231806,0.4661595775238171,-0.01971307621234171,0.12303669849495735,alpha028
1D,0.01715278689472975,0.1315701094287251,0.1303699371324294,3.8431500779148493,0.00013032169851064727,-0.07012932621595164,0.06880522268197797,alpha029
1D,0.013659244201004546,0.1330622557540241,0.10265303352631205,3.012127586365611,0.0026702003391660084,-0.02412973038079239,-0.07419899431299637,alpha030
1D,0.014937096656974392,0.12881166022178414,0.1159607494481178,3.4026132531073876,0.0006982649656015636,-0.018300328885203315,-0.01188807563674077,alpha031
1D,0.02801895693902904,0.12839575836243874,0.2182233844511937,6.4514450618171955,1.8337425082162844e-10,-0.1692301341925181,0.21513528519941172,alpha032
1D,0.03606683623705786,0.18939199414591745,0.19043485127079918,5.649210623539154,2.176761867068375e-08,0.09521582911075185,0.12211511811353848,alpha033
1D,0.017136744790871652,0.1408890602093726,0.121632898717651,3.606164172961752,0.00032828148223134485,0.0024798229638182553,-0.18278658199896913,alpha034
1D,-0.03557000326104393,0.15433984217846236,-0.23046546347970553,,,,,alpha035
1D,0.025615092130275862,0.13831394184013665,0.185195301279764,4.832852267405432,1.6648976981931435e-06,0.04128137853238952,-0.03518433300523016,alpha036
1D,0.010025918365570746,0.14367858392015942,0.06978018638562053,2.07001485080917,0.038742536105823115,0.09661761912450469,-0.1315358922251324,alpha037
1D,0.03420883869805425,0.1631639770768911,0.2096592600334406,6.18761275709603,9.395122762430855e-10,0.007136619714883951,0.12809926444535424,alpha038
1D,0.028384259626540887,0.15169531296117603,0.1871136231730863,4.696514667866443,3.251455645333968e-06,-0.04523622201208577,-0.03066687450486638,alpha039
1D,0.02208028941062242,0.13584030792188362,0.1625459316782462,4.797170801356243,1.8929631561210631e-06,-0.024154951007154847,-0.049181523821582473,alpha040
1D,0.011025235990515027,0.13825314418869475,0.0797467287649331,2.3656702768693,0.018213620905828034,0.08433959438786974,0.14655528255504668,alpha041
1D,-0.0010845866073052237,0.1617482108831289,-0.006705400952403061,-0.1989143375943258,0.8423757534681021,0.09555468520695747,0.0190870883826606,alpha042
1D,0.0013748084277751974,0.1366312212577366,0.010062183555995627,,,,,alpha043
1D,0.029269884014518074,0.12057602975341604,0.2427504378306073,7.1847568475662085,1.4411869400561566e-12,-0.08992251621905442,-0.0932850020291891,alpha044
1D,0.012817854036699777,0.1253263136690149,0.10227584025611379,2.992333113154442,0.002848127509609723,0.0312770367021319,0.10440709511156587,alpha045
1D,-0.027723887778899167,0.14981064344127842,-0.18505953343539408,-5.430165155692366,7.329375058687952e-08,0.15928572268524518,-0.23759751020831654,alpha047
1D,0.027041045105450464,0.1361487426766813,0.19861399065334065,,,,,alpha049
1D,0.026287639626611996,0.11953224852047291,0.21992089960651562,,,,,alpha050
1D,0.026291549864775596,0.1370030466909927,0.19190485540132254,,,,,alpha051
1D,0.013164600158178366,0.15071222540944085,0.0873492520093444,2.2097807060925425,0.027474155100308408,-0.14047569827761783,-0.24752306145219904,alpha052
1D,0.012029842297193033,0.14287910279729504,0.08419595351364972,2.484850685697492,0.01314758225507783,0.1119460043004741,0.2698928605621762,alpha053
1D,-0.015180296927377726,0.15590459159021028,-0.09736914591507735,-2.8884356505007722,0.003966698597856507,0.08091711402772352,-0.10779375364930477,alpha054
1D,0.024659799561549414,0.1129090326425697,0.21840413458871505,6.419744249477927,2.2505569187069964e-10,0.11033897763180878,0.23907025238226431,alpha055
1D,0.006206994792037727,0.13899836348389372,0.04465516453909154,1.3019105814192224,0.19330006889542406,0.09691857614268247,0.13348731976639971,alpha057
1D,-0.0021676911601593548,0.15270637833970627,-0.014195157947739227,-0.41893756751986433,0.6753651682086147,0.12059191349927728,-0.07393075969542418,alpha060
1D,0.008271797539035982,0.11375290488820644,0.07271724222924505,2.1374416675681878,0.032842545348083424,-0.03748864530472316,-0.18756309390973502,alpha066
1D,0.022295170668067393,0.12006647631631381,0.18569022221765724,,,,,alpha071
1D,0.018168248912903407,0.12158570932710477,0.14942750273409977,4.371871825521315,1.3835125926300868e-05,0.05038197712768164,-0.023847736015500054,alpha072
1D,-0.021079660188976085,0.14938073489744141,-0.14111364630418038,,,,,alpha073
1D,-0.008114672886809459,0.13399514020217485,-0.06055945666809901,-1.7541347432377508,0.07977292638342245,-0.16377350268339672,0.010213849659240104,alpha077
1D,0.014620837462502171,0.1245658697934591,0.11737434569151867,,,,,alpha078
1D,0.012638403581313896,0.13888036316193997,0.09100209197017306,2.690339526776576,0.007274277227560264,0.13842888117778618,0.22287749294139392,alpha083
1D,-0.019703236861710532,0.1348726670460837,-0.1460876936242261,,,,,alpha084
1D,0.013666190360711365,0.11965177746828565,0.11421635891981348,3.359203893460204,0.0008158961235635254,-0.04452170493147873,-0.07996101650548804,alpha085
1D,0.04372890346755288,0.14765210137512524,0.2961617414198199,,,,,alpha088
1D,0.008362435015895254,0.14412792223667956,0.05802092256740431,,,,,alpha094
1D,-0.0004938417594062146,0.12552709491942457,-0.0039341447336386625,-0.11449645445636576,0.9088714241575713,-0.09390914210354802,0.0074002497937670775,alpha098
1D,-0.019972616917445875,0.16011280324076374,-0.12474091086527782,-3.7004134177520336,0.00022863474893382188,-0.10097788975958506,0.27496361960225935,alpha101
