,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,0.03535832516011507,0.11483596290352807,0.30790289266629006,9.102684395656214,5.862611515937166e-19,0.023079571692975604,-0.07422943016972017,alpha001
1D,0.00986537173790179,0.14197552633853103,0.06948642482492708,2.0601289482751466,0.039680427840021903,0.043611321169767785,0.002593271396974739,alpha002
1D,-0.014700137216967092,0.13441736094521547,-0.10936189427910604,-3.2331193770652455,0.0012704103488450015,-0.04139791407475989,-0.14322464620801512,alpha003
1D,0.021254287419780457,0.12225518478307504,0.173851828513394,,,,,alpha005
1D,0.001894420748411581,0.1381291659213609,0.013714849689964134,0.4061541067994478,0.6847285664336707,0.000827455957025516,-0.1629879222498447,alpha007
1D,0.020548645079291807,0.13911280686907138,0.1477121017235426,4.371878970892665,1.3798529792829155e-05,0.08112487196271521,0.0731631665398007,alpha008
1D,-0.020911651020859675,0.13846222633947564,-0.15102784039879152,-4.477663468583203,8.541269689251876e-06,0.001155921070940593,-0.06598659592265488,alpha009
1D,0.01141862190281465,0.16174636329600683,0.07059584939117175,,,,,alpha010
1D,-0.004173834510933747,0.15366002461561068,-0.02716278694718963,-0.8034860735545535,0.421912304772016,-0.04055174048059383,-0.03195520323463619,alpha011
1D,0.018320969214232714,0.13422303610659375,0.1364964595174486,4.028380306569315,6.107139160423825e-05,0.10555594299098833,0.0987914739928124,alpha012
1D,-0.010004616421193581,0.13069767158038703,-0.07654777855043984,-2.2707740779052235,0.023401840575091457,0.08863508912802678,0.32306378601683416,alpha013
1D,-0.023392398319921605,0.14157614963731308,-0.165228383310662,-4.887521490492207,1.214693241222304e-06,-0.06835842216911149,0.15140090425345587,alpha014
1D,0.0004209538251560369,0.11130117418968942,0.003782114862854993,,,,,alpha015
1D,0.008938740109598988,0.10255019536671546,0.08716453515894734,,,,,alpha016
1D,0.019922885394503424,0.1364251244524252,0.14603531039072665,4.297509288980438,1.923430932473735e-05,0.12180101734357346,0.2270276176837842,alpha017
1D,-0.03995490751010511,0.19055680624756605,-0.2096745232925284,-6.202256041409883,8.578179255421738e-10,0.0684537766656519,0.38245278276594785,alpha018
1D,-0.04171063488781157,0.193629054019792,-0.21541516638070274,-6.368424332169285,3.0845366471599187e-10,0.0983098776792987,0.307155065080007,alpha020
1D,-0.02495669973866544,0.1445838540606446,-0.17261055807931044,-5.091280010134224,4.3614505629844254e-07,0.07948955307967816,0.034764953897211015,alpha021
1D,-0.027751606792120263,0.19003107702950667,-0.14603720205096343,-4.312426896988059,1.7993124169470013e-05,-0.0765808639799864,0.06860125062663203,alpha022
1D,-0.010768927556291634,0.14769425429136512,-0.07291365265331946,-2.1382480303262446,0.03277818107769679,-0.12597832239182508,-0.0825624516314738,alpha023
1D,-0.022727376202040142,0.14656834364463622,-0.15506333521202936,-4.58683531273943,5.157319229872186e-06,0.11439114680580081,0.07964333032893745,alpha024
1D,0.028384259626540887,0.15169531296117603,0.1871136231730863,4.696514667866443,3.251455645333968e-06,-0.04523622201208577,-0.03066687450486638,alpha025
1D,0.03793296709472335,0.1399752968786305,0.2709975827207153,6.914422469458064,1.1251481372761033e-11,-0.12088475942562527,-0.2693158981965418,alpha026
1D,-0.03909178565981831,0.19910779122149613,-0.1963347863988452,-5.767699855773684,1.1196141544006786e-08,0.1047024894353228,0.032941073823019806,alpha027
1D,-0.026337984048343595,0.1511859196012254,-0.1742092393115299,-5.1443371877851884,3.3179345908007043e-07,0.10927596079097227,0.15284154384629822,alpha028
1D,-0.02178409761394899,0.1698753930475299,-0.12823574517266287,-3.791096298058073,0.00016029618501335526,0.09963874216089648,0.06713840126172732,alpha029
1D,-0.0501542689519024,0.1959768838875507,-0.25591931026253256,-7.544195685055005,1.1483639138243898e-13,0.11023968680328021,0.48072303861243526,alpha031
1D,0.010123839885929057,0.10967785367165826,0.09230523343606556,2.73198542471321,0.006422207407971138,0.03137354475453851,0.045414591031963436,alpha032
1D,0.013164600158178366,0.15071222540944085,0.0873492520093444,2.2097807060925425,0.027474155100308408,-0.14047569827761783,-0.24752306145219904,alpha033
1D,0.0501542689519024,0.1959768838875507,0.25591931026253256,7.544195685055005,1.1483639138243898e-13,-0.11023968680328021,0.48072303861243526,alpha034
