,AlphaName,SP,Pro Daily Mean,Pro Total
0,alpha001,2.6389049679480583,0.001901722142127706,1.90524440296771
0,alpha002,1.3683984272151801,0.0016444467518860852,1.6492879669841345
0,alpha003,0.6938839219524724,0.0006593191084238221,1.1931769601243019
0,alpha005,0.11886573180689387,9.746877514565634e-05,0.9921114833498151
0,alpha007,-0.22987795361318855,-0.00025658121303463933,0.8401264449238796
0,alpha008,-0.5274287883716071,-0.0005691494545383132,0.7555499937044772
0,alpha009,-0.10782169716816598,-0.00010589080745970837,0.9031210249713821
0,alpha010,1.2591023323449966,0.0010133790078308757,1.3618251115718492
0,alpha011,1.1053516485324224,0.001317940161330148,1.4610042967006804
0,alpha012,0.02588528308068829,2.5374012359192345e-05,0.9488430653565347
0,alpha013,-1.0262171778033362,-0.0009567590136091099,0.6671026269083827
0,alpha014,-0.1653360323639246,-0.00018412939472527278,0.8631410336981232
0,alpha016,-0.46558258113210793,-0.0003478382379804415,0.8550427243471962
0,alpha017,-0.0549713420681672,-5.777698509003214e-05,0.9139497995707159
0,alpha018,-0.6994957566325058,-0.001167043684443422,0.5482113321827463
0,alpha020,-0.8457501565096285,-0.0013472204439548946,0.5236672458933487
0,alpha021,-0.5631961813699635,-0.0005810231258595778,0.7605409349763794
0,alpha022,-0.8713864528647494,-0.0013025698559742081,0.5438911828905374
0,alpha023,-0.347026666509648,-0.0004264222362245765,0.7869425041129035
0,alpha024,-0.5587313273976947,-0.0005816387793475739,0.7565783230376251
0,alpha025,1.0810602793875055,0.0010891576490973292,1.1079971380216753
0,alpha026,1.0270292248159707,0.001313648745442382,1.145871453050928
0,alpha027,-0.8369850769826349,-0.0013611333929081518,0.5283513195618668
0,alpha028,-1.2289834939324293,-0.001546092199947333,0.5212267848280877
0,alpha029,-0.1895991455819417,-0.0002687914417463807,0.7973471367534407
0,alpha031,-1.188983665139882,-0.0020199315239147943,0.40736656640646357
0,alpha032,0.7506971809644679,0.0005478179219661651,1.1756137363673078
0,alpha033,1.9361202762973415,0.0019357175608619485,1.240902759761524
0,alpha034,1.1834765524875561,0.0020100643998096847,1.6862099900352618
0,alpha035,0.24244344316440045,0.0002277571947698009,1.0226964247451253
0,alpha036,0.08142896967377293,6.902893587052876e-05,0.9784046967857739
0,alpha037,0.7761786898698837,0.0007513527736996373,1.224147421600685
0,alpha039,-0.8470951440537894,-0.000827499258846905,0.71215094819319
0,alpha040,-1.2296146830554506,-0.0013484683940093237,0.5882270233436967
0,alpha041,-0.22852107629758792,-0.0002445211865412827,0.851382770289343
0,alpha042,0.9709303279117536,0.0008217254347237878,1.277104815302471
0,alpha043,-1.3902536087797208,-0.0015939482030267289,0.5192822780627461
0,alpha045,-0.3250905854836994,-0.0003157899914612183,0.8439994418461582
0,alpha046,1.4001123663513202,0.0023598659004251525,1.8699869189551794
0,alpha047,-0.31591696866999075,-0.00046923079147300834,0.731952506349178
0,alpha048,1.4053578350457554,0.0014489600242384828,1.5393233742951684
0,alpha049,0.418758603075194,0.0005387058452029754,1.087003062037178
0,alpha050,-0.41856900917433165,-0.0005386234869320726,0.7443575324581854
0,alpha051,-0.41856900917433165,-0.0005386234869320726,0.7443575324581854
0,alpha052,-0.5554491107363746,-0.000763562097147665,0.68804570929036
0,alpha054,-2.4042162554280626,-0.002624910388337053,0.36526826038942534
0,alpha055,0.12977812929794233,0.00011898438330947792,0.9880089092251818
0,alpha057,-0.4048126784411287,-0.0005743142336232464,0.7156195126965915
0,alpha059,0.20401878072077642,0.00021824457425090218,1.0029853343760835
0,alpha060,1.1911206294549646,0.0014635990761404398,1.504798790655336
0,alpha061,-1.0316825315791314,-0.0010656401994645146,0.6512869616454874
0,alpha062,2.553519398651384,0.0019901006130029295,1.9621095769278
0,alpha063,-0.26380125230409196,-0.000367299200314257,0.7723505105049044
0,alpha065,1.2508413437649804,0.002047351832848281,1.7472680167299157
0,alpha066,-1.2526592247451085,-0.0020491166898724466,0.4025511031389409
0,alpha067,-0.4234411243990767,-0.0005037081918794386,0.7608319598713104
0,alpha068,-0.47363340045590074,-0.00045406827345007656,0.7983838608336425
0,alpha070,-1.5165451970014665,-0.0018097296730067037,0.4762446333825771
0,alpha071,-0.8428756263385622,-0.0014467219778998655,0.5089863203198578
0,alpha072,-0.7780004915568887,-0.0011921447438046386,0.5597672737876085
0,alpha073,1.2086280741834416,0.001009311844941874,1.3392835404451673
0,alpha074,0.3010894216846253,0.0002711081684850932,1.0435559736778695
0,alpha076,-1.2702311555014905,-0.0010787633045436376,0.6600048431295578
0,alpha077,-0.9989200597678594,-0.0008404104103059301,0.7318439309200105
0,alpha078,-0.1953206398598207,-0.00024035937118774853,0.8383363098661942
0,alpha079,-0.14741464846127725,-0.00019793420991683953,0.8279166169698641
0,alpha080,-0.05106494969145693,-5.658467228488601e-05,0.9047019813785038
0,alpha081,-1.114445890577637,-0.0014919877494099433,0.5168078511065991
0,alpha082,-0.7270841535583819,-0.0011361649940812549,0.5682704583715478
0,alpha083,2.2725818235875574,0.0021015619086576093,1.9824427362285926
0,alpha084,-0.639517066949422,-0.0008392630929265215,0.6737954430642173
0,alpha085,0.9579222310531018,0.0008811078991257107,1.2141937175805284
0,alpha087,-0.21233402783540023,-0.00017879753399284616,0.8986902852785046
0,alpha088,-0.4768282947119762,-0.000793706980482063,0.6403060676601054
0,alpha089,0.0854136739638331,8.565139369363134e-05,0.9653889972526196
0,alpha090,2.14112340389934,0.0016714847902953227,1.6674169470472964
0,alpha091,1.3129748306841689,0.0011895488485781196,1.426359473150699
0,alpha093,-0.15390498037382858,-0.00015569342923727513,0.8882795479554995
0,alpha094,-0.5226860375572057,-0.0005658407034767306,0.7713431948772261
0,alpha095,-1.5370902096243377,-0.0017297027916260547,0.5088909333024109
0,alpha096,0.3993694574948159,0.000565029746763654,1.07351076406842
0,alpha097,-1.059999131815435,-0.0013661287265848345,0.5541028438156171
0,alpha099,1.663184852887251,0.0015679772852435238,1.6079270348449668
0,alpha100,-0.5647892431364175,-0.0007112766022488018,0.7093144676567552
0,alpha102,-0.7380911406505134,-0.0007891827864221184,0.6982978879747787
0,alpha104,-0.509283010714792,-0.00037181432866829786,0.850915196609704
0,alpha105,0.26036180381590585,0.00018690136845232283,1.0334174131118172
0,alpha106,0.24552491065483176,0.00023435423412319721,1.0232528845446633
0,alpha107,0.4526799780691317,0.00036641331343011097,1.0933238366680822
0,alpha109,1.3324849054552816,0.0020312397337821876,1.786561590099129
0,alpha110,-0.9621820449792644,-0.0011495030206740736,0.6164417967020921
0,alpha111,-0.2374569817862065,-0.0003276829793935572,0.7815176266975261
0,alpha112,-0.6982827240332634,-0.0009423738731243028,0.6391982149374668
0,alpha113,0.0011760607674287666,7.694887768777692e-07,0.9741118579077142
0,alpha114,-0.1969013991702765,-0.00019729863500018562,0.8729964830994348
0,alpha115,0.37549505809012296,0.00029315931519341095,1.0654282096622252
0,alpha116,0.17441399669032007,0.00016196828813260964,1.0014003177242596
0,alpha118,-1.083843604052856,-0.0012944985890291213,0.585613179357451
0,alpha119,2.992801628001616,0.0019703488030227523,1.8380878921813875
0,alpha120,0.477313632933483,0.0005813280044611347,1.1198928760011584
0,alpha121,0.22430266731820853,0.00022412066544755818,1.0104321758875663
0,alpha122,-0.04138412580383818,-2.9690427079233278e-05,0.9563758109408664
0,alpha124,-0.5631775693083961,-0.0005159872431687412,0.80033647918888
0,alpha125,-0.1265463955098659,-0.00010728322226471681,0.924480971714903
0,alpha126,0.2478475373872982,0.00027611222318121484,1.0175971404472999
0,alpha127,-0.152818913335189,-0.0002932886010920433,0.7208268616749425
0,alpha128,-0.7825405156407783,-0.0008809990802324868,0.6776616091203531
0,alpha129,-0.10984726091415006,-0.00011962469498238508,0.8872674814965731
0,alpha130,1.345023614723221,0.0009214503577459961,1.3352265197162096
0,alpha131,-1.3075204876112199,-0.0011770560279062228,0.6465662315626374
0,alpha132,-1.4388461393448946,-0.0016385240620258436,0.524289658109909
0,alpha134,-0.9016005568267181,-0.0012592051624964885,0.5671143288906227
0,alpha135,-0.39814821596620925,-0.0006695116633506684,0.665362422422637
0,alpha136,2.00282114020186,0.0018979792733135692,1.8467395065506311
0,alpha138,1.4474115481848484,0.0013199023021733306,1.4538629374113219
0,alpha139,1.260936221540654,0.0011511742029937397,1.4239905247935252
0,alpha140,1.3833698131075454,0.002128464066712951,1.6982452118232376
0,alpha141,0.23473676859512005,0.00016855769974612414,1.0257328961798702
0,alpha142,1.810012192188324,0.0019406101379637634,1.8009854578731939
0,alpha144,0.8139552884364063,0.0008366980304477313,1.2486949938402856
0,alpha145,-0.3176961163789861,-0.00030656069024089124,0.8515119039056922
0,alpha146,-2.049009417399301,-0.002096595092419729,0.4558023931816273
0,alpha147,0.16228464945384505,0.00014732602068355852,0.9987570596594109
0,alpha150,-1.408018494033713,-0.0017257737928359214,0.4840446942673711
0,alpha151,0.9380236284628637,0.000808458415102797,1.2596247698520975
0,alpha152,0.20584402415199812,0.0002510153936919505,0.9939457162626065
0,alpha153,-0.051135614489162436,-5.750417467952604e-05,0.9058385085540731
0,alpha155,-0.035566771567738735,-3.835758687902212e-05,0.9134089626273271
0,alpha156,-0.540197968396115,-0.0006754511596292568,0.710050975574664
0,alpha157,-0.3123647668366694,-0.0003142716445634741,0.838857598308748
0,alpha158,-1.3565731294139678,-0.0025780745452080875,0.30921910247164053
0,alpha159,-1.0045173059966994,-0.002121575930155141,0.37041081397900394
